3.85E+02,1.48E+05,1.96E+01,4.51E+04,2.04E+09,2.12E+02,,,,,,,,,
3.81E+02,1.45E+05,1.95E+01,4.46E+04,1.99E+09,2.11E+02,,,,,,,,,
3.81E+02,1.45E+05,1.95E+01,4.42E+04,1.95E+09,2.10E+02,,,,,,,,,
3.68E+02,1.35E+05,1.92E+01,4.31E+04,1.86E+09,2.08E+02,,,,,,,,,
3.69E+02,1.36E+05,1.92E+01,4.31E+04,1.86E+09,2.08E+02,,,,,,,,,
3.70E+02,1.37E+05,1.92E+01,4.33E+04,1.88E+09,2.08E+02,,,,,,,,,
3.67E+02,1.35E+05,1.92E+01,4.28E+04,1.83E+09,2.07E+02,,,,,,,,,
3.69E+02,1.36E+05,1.92E+01,4.24E+04,1.80E+09,2.06E+02,,,,,,,,,
3.71E+02,1.38E+05,1.93E+01,4.21E+04,1.77E+09,2.05E+02,,,,,,,,,
3.67E+02,1.35E+05,1.92E+01,4.20E+04,1.76E+09,2.05E+02,,,,,,,,,
3.64E+02,1.32E+05,1.91E+01,4.16E+04,1.73E+09,2.04E+02,,,,,,,,,
3.68E+02,1.35E+05,1.92E+01,4.16E+04,1.73E+09,2.04E+02,,,,,,,,,
3.59E+02,1.29E+05,1.89E+01,4.07E+04,1.66E+09,2.02E+02,,,,,,,,,
3.62E+02,1.31E+05,1.90E+01,4.08E+04,1.66E+09,2.02E+02,,,,,,,,,
3.63E+02,1.32E+05,1.91E+01,4.05E+04,1.64E+09,2.01E+02,,,,,,,,,
3.54E+02,1.25E+05,1.88E+01,3.98E+04,1.58E+09,1.99E+02,,,,,,,,,
3.52E+02,1.24E+05,1.88E+01,3.96E+04,1.57E+09,1.99E+02,,,,,,,,,
3.60E+02,1.30E+05,1.90E+01,4.00E+04,1.60E+09,2.00E+02,,,,,,,,,
3.45E+02,1.19E+05,1.86E+01,3.84E+04,1.47E+09,1.96E+02,,,,,,,,,
3.32E+02,1.10E+05,1.82E+01,3.81E+04,1.45E+09,1.95E+02,,,,,,,,,
3.31E+02,1.10E+05,1.82E+01,3.79E+04,1.44E+09,1.95E+02,,,,,,,,,
3.39E+02,1.15E+05,1.84E+01,3.83E+04,1.47E+09,1.96E+02,,,,,,,,,
3.37E+02,1.14E+05,1.84E+01,3.77E+04,1.42E+09,1.94E+02,,,,,,,,,
3.33E+02,1.11E+05,1.82E+01,3.74E+04,1.40E+09,1.94E+02,,,,,,,,,
3.38E+02,1.14E+05,1.84E+01,3.72E+04,1.39E+09,1.93E+02,,,,,,,,,
3.33E+02,1.11E+05,1.82E+01,3.67E+04,1.35E+09,1.92E+02,,,,,,,,,
3.27E+02,1.07E+05,1.81E+01,3.60E+04,1.30E+09,1.90E+02,,,,,,,,,
3.33E+02,1.11E+05,1.82E+01,3.61E+04,1.31E+09,1.90E+02,,,,,,,,,
3.32E+02,1.10E+05,1.82E+01,3.58E+04,1.28E+09,1.89E+02,,,,,,,,,
3.36E+02,1.13E+05,1.83E+01,3.58E+04,1.28E+09,1.89E+02,,,,,,,,,
3.39E+02,1.15E+05,1.84E+01,3.56E+04,1.27E+09,1.89E+02,,,,,,,,,
3.31E+02,1.10E+05,1.82E+01,3.53E+04,1.25E+09,1.88E+02,,,,,,,,,
3.44E+02,1.18E+05,1.85E+01,3.53E+04,1.25E+09,1.88E+02,,,,,,,,,
3.47E+02,1.20E+05,1.86E+01,3.54E+04,1.25E+09,1.88E+02,,,,,,,,,
3.31E+02,1.10E+05,1.82E+01,3.42E+04,1.17E+09,1.85E+02,,,,,,,,,
3.47E+02,1.20E+05,1.86E+01,3.45E+04,1.19E+09,1.86E+02,,,,,,,,,
3.45E+02,1.19E+05,1.86E+01,3.45E+04,1.19E+09,1.86E+02,,,,,,,,,
3.45E+02,1.19E+05,1.86E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.42E+02,1.17E+05,1.85E+01,3.35E+04,1.12E+09,1.83E+02,,,,,,,,,
3.49E+02,1.22E+05,1.87E+01,3.37E+04,1.13E+09,1.84E+02,,,,,,,,,
3.55E+02,1.26E+05,1.88E+01,3.37E+04,1.14E+09,1.84E+02,,,,,,,,,
3.54E+02,1.25E+05,1.88E+01,3.35E+04,1.12E+09,1.83E+02,,,,,,,,,
3.62E+02,1.31E+05,1.90E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.55E+02,1.26E+05,1.88E+01,3.32E+04,1.10E+09,1.82E+02,,,,,,,,,
3.60E+02,1.30E+05,1.90E+01,3.34E+04,1.12E+09,1.83E+02,,,,,,,,,
3.60E+02,1.30E+05,1.90E+01,3.29E+04,1.09E+09,1.82E+02,,,,,,,,,
3.58E+02,1.28E+05,1.89E+01,3.27E+04,1.07E+09,1.81E+02,,,,,,,,,
3.56E+02,1.27E+05,1.89E+01,3.26E+04,1.06E+09,1.80E+02,,,,,,,,,
3.48E+02,1.21E+05,1.87E+01,3.23E+04,1.04E+09,1.80E+02,,,,,,,,,
3.51E+02,1.23E+05,1.87E+01,3.24E+04,1.05E+09,1.80E+02,,,,,,,,,
3.43E+02,1.18E+05,1.85E+01,3.22E+04,1.03E+09,1.79E+02,,,,,,,,,
3.47E+02,1.20E+05,1.86E+01,3.25E+04,1.06E+09,1.80E+02,,,,,,,,,
3.33E+02,1.11E+05,1.82E+01,3.14E+04,9.86E+08,1.77E+02,,,,,,,,,
3.30E+02,1.09E+05,1.82E+01,3.13E+04,9.81E+08,1.77E+02,,,,,,,,,
3.24E+02,1.05E+05,1.80E+01,3.15E+04,9.90E+08,1.77E+02,,,,,,,,,
3.26E+02,1.06E+05,1.81E+01,3.15E+04,9.89E+08,1.77E+02,,,,,,,,,
3.19E+02,1.02E+05,1.79E+01,3.11E+04,9.69E+08,1.76E+02,,,,,,,,,
3.31E+02,1.10E+05,1.82E+01,3.15E+04,9.89E+08,1.77E+02,,,,,,,,,
3.28E+02,1.08E+05,1.81E+01,3.12E+04,9.73E+08,1.77E+02,,,,,,,,,
3.30E+02,1.09E+05,1.82E+01,3.11E+04,9.70E+08,1.76E+02,,,,,,,,,
3.28E+02,1.08E+05,1.81E+01,3.15E+04,9.90E+08,1.77E+02,,,,,,,,,
3.31E+02,1.10E+05,1.82E+01,3.17E+04,1.00E+09,1.78E+02,,,,,,,,,
3.29E+02,1.08E+05,1.81E+01,3.16E+04,1.00E+09,1.78E+02,,,,,,,,,
3.23E+02,1.04E+05,1.80E+01,3.13E+04,9.81E+08,1.77E+02,,,,,,,,,
3.27E+02,1.07E+05,1.81E+01,3.17E+04,1.01E+09,1.78E+02,,,,,,,,,
3.27E+02,1.07E+05,1.81E+01,3.15E+04,9.92E+08,1.77E+02,,,,,,,,,
3.36E+02,1.13E+05,1.83E+01,3.19E+04,1.02E+09,1.79E+02,,,,,,,,,
3.35E+02,1.12E+05,1.83E+01,3.16E+04,9.99E+08,1.78E+02,,,,,,,,,
3.34E+02,1.12E+05,1.83E+01,3.18E+04,1.01E+09,1.78E+02,,,,,,,,,
3.21E+02,1.03E+05,1.79E+01,3.06E+04,9.37E+08,1.75E+02,,,,,,,,,
3.40E+02,1.16E+05,1.84E+01,3.16E+04,9.98E+08,1.78E+02,,,,,,,,,
3.47E+02,1.20E+05,1.86E+01,3.24E+04,1.05E+09,1.80E+02,,,,,,,,,
3.51E+02,1.23E+05,1.87E+01,3.24E+04,1.05E+09,1.80E+02,,,,,,,,,
3.61E+02,1.30E+05,1.90E+01,3.26E+04,1.06E+09,1.81E+02,,,,,,,,,
3.63E+02,1.32E+05,1.91E+01,3.29E+04,1.08E+09,1.81E+02,,,,,,,,,
3.50E+02,1.23E+05,1.87E+01,3.26E+04,1.06E+09,1.81E+02,,,,,,,,,
3.56E+02,1.27E+05,1.89E+01,3.30E+04,1.09E+09,1.82E+02,,,,,,,,,
3.57E+02,1.27E+05,1.89E+01,3.30E+04,1.09E+09,1.82E+02,,,,,,,,,
3.58E+02,1.28E+05,1.89E+01,3.29E+04,1.08E+09,1.81E+02,,,,,,,,,
3.65E+02,1.33E+05,1.91E+01,3.27E+04,1.07E+09,1.81E+02,,,,,,,,,
3.83E+02,1.47E+05,1.96E+01,3.37E+04,1.13E+09,1.83E+02,,,,,,,,,
3.81E+02,1.45E+05,1.95E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.92E+02,1.54E+05,1.98E+01,3.42E+04,1.17E+09,1.85E+02,,,,,,,,,
3.90E+02,1.52E+05,1.97E+01,3.42E+04,1.17E+09,1.85E+02,,,,,,,,,
3.89E+02,1.51E+05,1.97E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.80E+02,1.44E+05,1.95E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.88E+02,1.51E+05,1.97E+01,3.39E+04,1.15E+09,1.84E+02,,,,,,,,,
3.75E+02,1.41E+05,1.94E+01,3.32E+04,1.10E+09,1.82E+02,,,,,,,,,
3.89E+02,1.51E+05,1.97E+01,3.40E+04,1.15E+09,1.84E+02,,,,,,,,,
3.83E+02,1.47E+05,1.96E+01,3.34E+04,1.12E+09,1.83E+02,,,,,,,,,
3.89E+02,1.51E+05,1.97E+01,3.38E+04,1.15E+09,1.84E+02,,,,,,,,,
3.94E+02,1.55E+05,1.98E+01,3.38E+04,1.15E+09,1.84E+02,,,,,,,,,
3.98E+02,1.58E+05,1.99E+01,3.37E+04,1.14E+09,1.84E+02,,,,,,,,,
4.02E+02,1.62E+05,2.00E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
3.90E+02,1.52E+05,1.97E+01,3.32E+04,1.10E+09,1.82E+02,,,,,,,,,
4.08E+02,1.66E+05,2.02E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
4.18E+02,1.75E+05,2.04E+01,3.40E+04,1.15E+09,1.84E+02,,,,,,,,,
4.18E+02,1.75E+05,2.04E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
4.14E+02,1.71E+05,2.03E+01,3.34E+04,1.11E+09,1.83E+02,,,,,,,,,
4.22E+02,1.78E+05,2.05E+01,3.36E+04,1.13E+09,1.83E+02,,,,,,,,,
4.22E+02,1.78E+05,2.05E+01,3.34E+04,1.11E+09,1.83E+02,,,,,,,,,
4.37E+02,1.91E+05,2.09E+01,3.38E+04,1.14E+09,1.84E+02,,,,,,,,,
