2.37E+02,5.62E+04,1.54E+01,2.03E+04,4.14E+08,1.43E+02
2.50E+02,6.25E+04,1.58E+01,2.09E+04,4.38E+08,1.45E+02
2.38E+02,5.66E+04,1.54E+01,2.02E+04,4.10E+08,1.42E+02
2.46E+02,6.05E+04,1.57E+01,2.04E+04,4.18E+08,1.43E+02
2.32E+02,5.38E+04,1.52E+01,1.85E+04,3.42E+08,1.36E+02
2.14E+02,4.58E+04,1.46E+01,1.71E+04,2.91E+08,1.31E+02
2.14E+02,4.58E+04,1.46E+01,1.71E+04,2.91E+08,1.31E+02
2.18E+02,4.75E+04,1.48E+01,1.70E+04,2.89E+08,1.30E+02
2.22E+02,4.93E+04,1.49E+01,1.72E+04,2.96E+08,1.31E+02
2.20E+02,4.84E+04,1.48E+01,1.71E+04,2.91E+08,1.31E+02
2.18E+02,4.75E+04,1.48E+01,1.68E+04,2.83E+08,1.30E+02
2.18E+02,4.75E+04,1.48E+01,1.67E+04,2.78E+08,1.29E+02
2.14E+02,4.58E+04,1.46E+01,1.64E+04,2.69E+08,1.28E+02
2.11E+02,4.45E+04,1.45E+01,1.60E+04,2.56E+08,1.26E+02
2.06E+02,4.24E+04,1.44E+01,1.57E+04,2.48E+08,1.25E+02
2.08E+02,4.33E+04,1.44E+01,1.58E+04,2.49E+08,1.26E+02
2.14E+02,4.58E+04,1.46E+01,1.59E+04,2.53E+08,1.26E+02
2.17E+02,4.71E+04,1.47E+01,1.59E+04,2.54E+08,1.26E+02
2.16E+02,4.67E+04,1.47E+01,1.56E+04,2.45E+08,1.25E+02
2.14E+02,4.58E+04,1.46E+01,1.55E+04,2.39E+08,1.24E+02
2.14E+02,4.58E+04,1.46E+01,1.54E+04,2.38E+08,1.24E+02
2.19E+02,4.80E+04,1.48E+01,1.56E+04,2.42E+08,1.25E+02
2.05E+02,4.20E+04,1.43E+01,1.51E+04,2.27E+08,1.23E+02
2.00E+02,4.00E+04,1.41E+01,1.48E+04,2.20E+08,1.22E+02
1.98E+02,3.92E+04,1.41E+01,1.46E+04,2.14E+08,1.21E+02
1.96E+02,3.84E+04,1.40E+01,1.46E+04,2.12E+08,1.21E+02
1.99E+02,3.96E+04,1.41E+01,1.46E+04,2.14E+08,1.21E+02
1.90E+02,3.61E+04,1.38E+01,1.43E+04,2.03E+08,1.19E+02
1.90E+02,3.61E+04,1.38E+01,1.42E+04,2.00E+08,1.19E+02
1.91E+02,3.65E+04,1.38E+01,1.41E+04,1.99E+08,1.19E+02
1.90E+02,3.61E+04,1.38E+01,1.40E+04,1.96E+08,1.18E+02
