1.44E+03,2.09E+06,3.80E+01,1.13E+05,1.29E+10,3.37E+02
1.43E+03,2.04E+06,3.78E+01,1.11E+05,1.24E+10,3.34E+02
1.46E+03,2.12E+06,3.81E+01,1.18E+05,1.39E+10,3.43E+02
1.35E+03,1.83E+06,3.68E+01,1.07E+05,1.15E+10,3.28E+02
1.38E+03,1.89E+06,3.71E+01,1.07E+05,1.15E+10,3.27E+02
1.40E+03,1.95E+06,3.74E+01,1.14E+05,1.30E+10,3.37E+02
1.43E+03,2.04E+06,3.78E+01,1.18E+05,1.38E+10,3.43E+02
1.31E+03,1.72E+06,3.62E+01,1.04E+05,1.09E+10,3.23E+02
1.32E+03,1.73E+06,3.63E+01,1.06E+05,1.12E+10,3.26E+02
1.40E+03,1.95E+06,3.74E+01,1.17E+05,1.37E+10,3.42E+02
1.31E+03,1.71E+06,3.62E+01,1.07E+05,1.14E+10,3.27E+02
1.26E+03,1.59E+06,3.55E+01,1.03E+05,1.06E+10,3.21E+02
1.27E+03,1.62E+06,3.57E+01,1.02E+05,1.05E+10,3.20E+02
1.27E+03,1.60E+06,3.56E+01,1.02E+05,1.04E+10,3.19E+02
1.23E+03,1.52E+06,3.51E+01,9.93E+04,9.86E+09,3.15E+02
1.26E+03,1.59E+06,3.55E+01,1.02E+05,1.04E+10,3.20E+02
1.26E+03,1.59E+06,3.55E+01,1.03E+05,1.06E+10,3.21E+02
1.25E+03,1.57E+06,3.54E+01,1.01E+05,1.03E+10,3.18E+02
1.27E+03,1.62E+06,3.57E+01,1.05E+05,1.11E+10,3.24E+02
1.27E+03,1.61E+06,3.56E+01,1.04E+05,1.08E+10,3.23E+02
1.22E+03,1.48E+06,3.49E+01,9.92E+04,9.85E+09,3.15E+02
1.32E+03,1.74E+06,3.63E+01,1.15E+05,1.33E+10,3.40E+02
1.31E+03,1.71E+06,3.62E+01,1.13E+05,1.29E+10,3.37E+02
1.31E+03,1.73E+06,3.62E+01,1.14E+05,1.30E+10,3.38E+02
1.30E+03,1.70E+06,3.61E+01,1.12E+05,1.26E+10,3.35E+02
1.26E+03,1.59E+06,3.55E+01,1.08E+05,1.17E+10,3.29E+02
1.27E+03,1.61E+06,3.56E+01,1.08E+05,1.17E+10,3.29E+02
